id,title,owner,status,project_id,project_name,stage,prd_path,tech_solution_path,project_path,git_repo,deployment_url,prd_confirmation,tech_expectations,acceptance,last_update,engine,target,game_type,notes
P-20260517-034,future-little-leaders V4 离线优先 + 多设备同步 (Direction A),,active,future-little-leaders,future-little-leaders,,,,,https://github.com/YeLuo45/future-little-leaders,,workspace-dev/proposals/future-little-leaders/PRD-V4-offline-sync.md,,npm run build:h5 成功，Git commit face16f9，push 成功,2026-05-17,,,,提案
P-20260517-035,future-little-leaders V5 可视化任务编排画布 (Direction A),,active,future-little-leaders,future-little-leaders,,,,,https://github.com/YeLuo45/future-little-leaders,,,,npm run build:h5 成功，Git commit d14a0811，push 成功,2026-05-17,,,,提案
P-20260518-003,future-little-leaders V6 自进化技能树/成长图谱系统 (Direction A),,active,future-little-leaders,future-little-leaders,,,,,https://github.com/YeLuo45/future-little-leaders,,workspace-dev/proposals/future-little-leaders/PRD-V6-skill-tree.md,,npm run build:h5 成功，Git commit 9753b773，push 成功,2026-05-18,,,,提案
P-20260518-005,future-little-leaders V7 家庭通知中枢 (Direction A),,active,future-little-leaders,future-little-leaders,,,,,https://github.com/YeLuo45/future-little-leaders,,workspace-dev/proposals/future-little-leaders/PRD-V7-notification-hub.md,,npm run build:h5 成功，Git commit 74f58f5a，push 成功,2026-05-18,,,,提案
P-20260518-010,future-little-leaders V9 成长报告 AI 总结 (Direction A),,active,future-little-leaders,future-little-leaders,,,,,https://github.com/YeLuo45/future-little-leaders,,workspace-dev/proposals/future-little-leaders/PRD-V9-ai-growth-summary.md,,npm run build:h5 成功，Git commit 6c8335da，push 成功；SDK commit d2ed559，push 成功,2026-05-18,,,,提案
P-20260518-012,future-little-leaders V10 V3 M5 Dashboard 补全 (Direction A),,active,future-little-leaders,future-little-leaders,,,,,https://github.com/YeLuo45/future-little-leaders,,workspace-dev/proposals/future-little-leaders/PRD-V10-M5-dashboard.md,,npm run build:h5 成功，Git commit dc2b28b9，push 成功,2026-05-18,,,,提案
P-20260518-013,future-little-leaders V11 Flow 模板市场 (Direction A),,active,future-little-leaders,future-little-leaders,,,,,https://github.com/YeLuo45/future-little-leaders,,workspace-dev/proposals/future-little-leaders/PRD-V11-flow-template-market.md,,"git commit 07e3fb0c, push成功; 8 files changed, 1809 insertions(+), 10 deletions(-)",2026-05-18,,,,提案
P-20260518-014,future-little-leaders V12 积分商城增强 (Direction A),,active,future-little-leaders,future-little-leaders,,,,,https://github.com/YeLuo45/future-little-leaders,,workspace-dev/proposals/future-little-leaders/PRD-V12-reward-shop.md,,"git commit a95a9de7, push成功; 35商品+积分商城+兑换记录+排行榜",2026-05-18,,,,提案
P-20260518-015,future-little-leaders V13 V4 离线同步深度集成 (Direction A),,active,future-little-leaders,future-little-leaders,,,,,https://github.com/YeLuo45/future-little-leaders,,workspace-dev/proposals/future-little-leaders/PRD-V13-v4-offline-sync-deep-integration.md,,"git commit 1d77bb18, push成功; initV4+SyncConflictModal+SyncStore+conflictResolver+Workers D1",2026-05-18,,,,提案
P-20260518-016,future-little-leaders V14 多语言 i18n 支持 (Direction A),,active,future-little-leaders,future-little-leaders,,,,,https://github.com/YeLuo45/future-little-leaders,,workspace-dev/proposals/future-little-leaders/PRD-V14-i18n.md,,"git commit 4a954aa1, push成功; i18n框架+4语言+settings语言切换",2026-05-18,,,,提案
P-20260518-017,future-little-leaders V15 儿童社交功能 (Direction A),,active,future-little-leaders,future-little-leaders,,,,,https://github.com/YeLuo45/future-little-leaders,,workspace-dev/proposals/future-little-leaders/PRD-V15-social.md,,"git commit 48bab4e9, push成功; 朋友系统+积分赠送+组队任务+成长PK",2026-05-18,,,,提案
