id,name,proposal_count,git_repo,local_path,prj_url,description,last_update
PRJ-20250416-001,todolist,11,https://github.com/YeLuo45/todo-list,/home/hermes/todo-list,https://yeluo45.github.io/todo-list/,Todo/任务管理Web应用,2026-05-17
PRJ-20250416-002,game-1024,6,https://github.com/YeLuo45/game-1024,/home/hermes/game-1024,https://yeluo45.github.io/game-1024/,2048类益智游戏,2026-05-17
PRJ-20250418-003,harness-desktop,2,https://github.com/YeLuo45/harness-desktop,/home/hermes/harness-desktop,https://yeluo45.github.io/harness-desktop/,Electron桌面应用，用于AI Agent协作管理,2026-05-17
PRJ-20260412-008,ai-subscription,38,https://github.com/YeLuo45/ai-subscription,/home/hermes/ai-subscription,https://yeluo45.github.io/ai-subscription/,AI内容订阅聚合平台，支持多源订阅和智能推荐,2026-05-17
PRJ-20260412-009,ai-stock-simulation,8,https://github.com/YeLuo45/ai-stock-simulation,/home/hermes/ai-stock-simulation,https://yeluo45.github.io/ai-stock-simulation/,AI股票模拟交易平台，提供虚拟交易和回测功能,2026-05-17
PRJ-20260417-001,prj-proposals-manager,2,https://github.com/YeLuo45/prj-proposals-manager,/home/hermes/workspace-dev/proposals/prj-proposals-manager,https://yeluo45.github.io/prj-proposals-manager/,提案管理系统，用于跟踪和管理项目提案生命周期,2026-05-17
PRJ-20260417-002,android-hello,20,https://github.com/YeLuo45/android-hello,/home/hermes/android-hello,https://yeluo45.github.io/android-hello/,Android入门示例应用,2026-05-17
PRJ-20260418-001,monopoly3d,1,https://github.com/YeLuo45/monopoly3d,/home/hermes/monopoly3d,https://yeluo45.github.io/monopoly3d/,3D大富翁游戏，支持多人联机对战,2026-05-17
PRJ-20260418-002,creative-drawing-board,40,https://github.com/YeLuo45/creative-drawing-board,/home/hermes/creative-drawing-board,https://yeluo45.github.io/creative-drawing-board/,在线创意画板，支持多种绘画工具和分享功能,2026-05-17
PRJ-20260418-004,future-little-leaders,2,https://github.com/YeLuo45/future-little-leaders,/home/hermes/future-little-leaders,https://yeluo45.github.io/future-little-leaders/,儿童领导力培养互动游戏,2026-05-17
PRJ-20260418-005,todo-app,1,https://github.com/YeLuo45/todo-app,/home/hermes/todolist-app,https://yeluo45.github.io/todo-app/,待办事项应用,2026-05-17
PRJ-20260419-001,temple-run,3,https://github.com/YeLuo45/temple-run,/home/hermes/temple-run,https://yeluo45.github.io/temple-run/,神庙逃亡类跑酷游戏,2026-05-17
PRJ-20260419-002,tank-battle,1,https://github.com/YeLuo45/tank-battle,/home/hermes/tank-battle,https://yeluo45.github.io/tank-battle/,坦克大战射击游戏,2026-05-17
PRJ-20260419-003,dont-step-white,11,https://github.com/YeLuo45/dont-step-white,/home/hermes/dont-step-white,https://yeluo45.github.io/dont-step-white/,别踩白块节奏游戏,2026-05-17
PRJ-20260419-005,TradingAgents-CN,1,https://github.com/YeLuo45/TradingAgents-CN,/home/hermes/TradingAgents-CN,https://yeluo45.github.io/TradingAgents-CN/,交易Agent中文设计文档项目,2026-05-17
PRJ-20260419-007,ai-creator-h5,3,https://github.com/YeLuo45/ai-creator-h5,/home/hermes/ai-creator-h5,https://yeluo45.github.io/ai-creator-h5/,AI创作助手H5应用,2026-05-17
PRJ-20260420-001,snake-battle,4,https://github.com/YeLuo45/snake-battle,/home/hermes/snake-battle,https://yeluo45.github.io/snake-battle/,贪吃蛇对战游戏,2026-05-17
PRJ-20260420-002,pixel-pal-web,8,https://github.com/YeLuo45/pixel-pal-web,/home/hermes/pixel-pal-web,https://yeluo45.github.io/pixel-pal-web/,像素风格AI伙伴Web应用，支持人格定制和情感交互,2026-05-17
PRJ-20260421-001,card-game-prototype,28,https://github.com/YeLuo45/card-game-prototype,/home/hermes/card-game-prototype,https://yeluo45.github.io/card-game-prototype/,卡牌游戏原型，支持多种卡牌规则和战斗系统,2026-05-17
PRJ-20260421-003,personalClaw,1,https://github.com/YeLuo45/personalClaw,/home/hermes/personalClaw,https://yeluo45.github.io/personalClaw/,个人工具项目,2026-05-17
PRJ-20260422-001,ai-novel-assistant,4,https://github.com/YeLuo45/ai-novel-assistant,/home/hermes/ai-novel-assistant,https://yeluo45.github.io/ai-novel-assistant/,AI小说创作助手，提供故事生成和写作辅助,2026-05-17
PRJ-20260423-001,room-escape-puzzle,1,https://github.com/YeLuo45/room-escape-puzzle,/home/hermes/room-escape-puzzle,https://yeluo45.github.io/room-escape-puzzle/,密室逃脱解谜游戏,2026-05-17
PRJ-20260423-002,little-garden,1,https://github.com/YeLuo45/little-garden,/home/hermes/little-garden,https://yeluo45.github.io/little-garden/,小型花园养成游戏,2026-05-17
PRJ-20260423-005,hermes-agent-collab,2,https://github.com/YeLuo45/hermes-agent-collab,/home/hermes/hermes-agent-collab,https://yeluo45.github.io/hermes-agent-collab/,Hermes Agent协作系统，用于多Agent任务协调,2026-05-17
PRJ-20260424-001,OpenMAIC,1,https://github.com/YeLuo45/OpenMAIC,/home/hermes/opensource/OpenMAIC,https://yeluo45.github.io/OpenMAIC/,多智能体交互课堂设计项目,2026-05-17
PRJ-20260424-004,match3-puzzle,1,https://github.com/YeLuo45/match3-puzzle,/home/hermes/match3-puzzle,https://yeluo45.github.io/match3-puzzle/,三消益智游戏,2026-05-17
